case 0 1
o -39992 -65 30008
o -40005 -63 30005
o -40005 -65 30001
o -40006 -65 30001
o -40001 -65 29995
o -40001 -64 29996
o -39999 -65 29993
o -40004 -64 29998
o -39999 -64 29993
o -40009 -65 30002
o -39998 -64 29992
case 20 24
i 7 -1 8
i 9 -1 6
i 8 0 -5
i 7 -1 9
i 4 0 4
i 3 0 6
i 0 -2 1
i -4 0 -5
i -6 0 4
i 2 0 -4
i 9 -2 3
i 5 0 2
i 5 -2 2
i 6 -2 6
i -7 -2 1
i -3 -1 0
i 1 0 4
i -1 -1 -5
i -6 -2 7
i 9 -1 7
i 6 -1 4
i 7 0 -2
i 3 0 5
i 9 -2 -3
o 2 0 -4
o -3 -1 0
o 0 -2 1
o -6 -2 7
o -1 -1 -5
o 1 0 4
o 5 0 2
o 4 0 4
o -4 0 -5
o 3 0 5
o 3 0 6
o 5 -2 2
o 6 -1 4
o 9 -2 3
o 6 -2 6
o 7 -1 8
o 9 -1 6
o 7 -1 9
o 9 -1 7
o 9 -2 -3
o 7 0 -2
o 8 0 -5
o -7 -2 1
o -6 0 4
case 21 25
i -3 1 -4
i -8 0 -3
i 2 0 -7
i -7 -1 -2
i 7 -1 3
i 6 -1 8
i -5 -1 6
i 8 0 -5
i 1 1 4
i -8 -1 6
i 5 -1 1
i 7 0 2
i -1 -1 1
i -4 1 -5
i -5 0 -3
i -7 0 4
i 6 -1 6
i 4 1 8
i -1 1 -3
i -6 0 3
i 7 1 -4
i -7 0 -1
i 5 1 -6
i 1 -1 -8
i 3 0 -7
o 3 0 -7
o 2 0 -7
o -5 0 -3
o -7 0 -1
o 7 0 2
o -8 0 -3
o 7 1 -4
o -8 -1 6
o -1 -1 1
o 5 1 -6
o -5 -1 6
o 1 1 4
o -1 1 -3
o 1 -1 -8
o -3 1 -4
o -7 -1 -2
o 5 -1 1
o -4 1 -5
o 7 -1 3
o 4 1 8
o 6 -1 6
o 6 -1 8
o 8 0 -5
o -7 0 4
o -6 0 3
case 22 25
i -39996 -63 29992
i -40003 -63 30007
i -39995 -64 29995
i -40005 -64 30006
i -40003 -65 30007
i -40003 -64 30002
i -40009 -64 29994
i -39997 -64 30005
i -39999 -65 29992
i -40007 -65 30008
i -40002 -65 30005
i -39998 -64 29998
i -40005 -63 30004
i -40000 -65 29999
i -39995 -64 29997
i -39995 -63 30008
i -40008 -65 29994
i -40007 -64 29992
i -40000 -65 29997
i -40002 -65 30006
i -40003 -63 29992
i -40005 -64 29992
i -39998 -65 30004
i -40008 -63 30000
i -40004 -65 29992
o -39995 -64 29997
o -40005 -64 30006
o -39995 -64 29995
o -39998 -64 29998
o -39997 -64 30005
o -40005 -64 29992
o -40009 -64 29994
o -40007 -64 29992
o -40003 -64 30002
o -39998 -65 30004
o -40003 -65 30007
o -40002 -65 30006
o -40002 -65 30005
o -40003 -63 30007
o -40007 -65 30008
o -40000 -65 29999
o -39995 -63 30008
o -40008 -63 30000
o -40004 -65 29992
o -40003 -63 29992
o -40008 -65 29994
o -40005 -63 30004
o -40000 -65 29997
o -39996 -63 29992
o -39999 -65 29992
case 23 25
i 5 -2 7
i 6 -2 4
i 8 -1 3
i 2 -2 7
i 4 -2 5
i 9 -2 1
i 2 -1 4
i 4 0 1
i 2 0 -6
i -7 -2 -3
i 5 0 -4
i -6 -2 -6
i -5 0 8
i -3 0 -6
i 3 -1 2
i 0 -2 8
i -7 0 -2
i -7 -2 1
i -2 0 2
i 5 -2 4
i 3 -1 4
i -6 -2 -7
i 1 -1 -3
i -5 -2 6
i 5 0 1
o -2 0 2
o 2 0 -6
o -5 0 8
o -5 -2 6
o 4 0 1
o 5 0 1
o -7 -2 -3
o -3 0 -6
o -7 0 -2
o -6 -2 -6
o 0 -2 8
o -6 -2 -7
o 2 -2 7
o 4 -2 5
o 5 -2 4
o 6 -2 4
o 9 -2 1
o 5 -2 7
o 1 -1 -3
o 3 -1 2
o 2 -1 4
o 3 -1 4
o 8 -1 3
o -7 -2 1
o 5 0 -4
case 24 47
i -2 -1 1
i -7 -1 -6
i 1 -1 6
i 0 1 -3
i 2 -1 2
i 4 0 -2
i -3 1 1
i 5 1 1
i -6 -1 -4
i 7 -1 -4
i -4 1 -2
i 1 1 -7
i 0 0 7
i 0 1 -5
i -1 -1 -5
i 2 -1 -6
i -5 -1 3
i 3 -1 -3
i -6 1 -2
i 4 1 5
i -7 1 -4
i 3 -1 7
i -1 0 2
i -4 -1 1
i -7 1 1
i -3 0 -6
i 7 1 -4
i 6 -1 -4
i -5 0 -4
i -2 -1 5
i -1 -1 -7
i 8 -1 6
i 5 1 2
i -6 -1 -6
i 6 0 -5
i -7 -1 -7
i -8 1 -4
i 8 1 0
i -1 1 -3
i 3 0 2
i -6 1 6
i 4 1 -1
i 3 1 4
i 6 -1 -5
i -6 1 2
i 0 0 -1
i 4 0 -7
o 0 0 -1
o -1 0 2
o 4 0 -7
o 3 0 2
o 0 0 7
o -3 0 -6
o -5 0 -4
o -7 1 1
o 7 -1 -4
o -6 1 2
o 6 -1 -4
o -3 1 1
o 7 1 -4
o 4 1 -1
o 6 -1 -5
o 3 -1 -3
o -4 -1 1
o -5 -1 3
o -6 1 6
o -2 -1 1
o 2 -1 -6
o 0 1 -3
o -1 -1 -5
o -2 -1 5
o -1 1 -3
o 2 -1 2
o 5 1 1
o 0 1 -5
o -4 1 -2
o 1 1 -7
o -1 -1 -7
o 5 1 2
o 3 1 4
o 8 1 0
o 1 -1 6
o -6 -1 -4
o -6 1 -2
o 4 1 5
o -6 -1 -6
o -7 -1 -6
o -7 1 -4
o 3 -1 7
o -7 -1 -7
o -8 1 -4
o 8 -1 6
o 4 0 -2
o 6 0 -5
case 25 47
i -40004 -64 30004
i -39997 -64 30004
i -39997 -65 29994
i -39993 -64 29993
i -39995 -63 29999
i -39992 -65 29995
i -40006 -64 30005
i -39999 -63 30001
i -40002 -64 30005
i -39994 -65 30002
i -40001 -64 29995
i -39995 -64 29998
i -39999 -64 29992
i -40003 -63 30005
i -40001 -65 30003
i -39992 -64 30007
i -40004 -65 30006
i -39996 -65 29991
i -40007 -64 29999
i -40001 -65 30005
i -40005 -63 29998
i -39994 -65 30008
i -40000 -63 29993
i -40007 -63 29996
i -39997 -64 30005
i -39999 -64 30003
i -40008 -64 30005
i -39995 -65 29995
i -39995 -63 30006
i -39993 -65 30006
i -39999 -64 30004
i -39995 -64 30001
i -39999 -64 30002
i -39994 -64 30007
i -39995 -64 30004
i -40004 -64 29992
i -40007 -63 29992
i -39999 -63 30006
i -39997 -63 29996
i -40003 -64 30001
i -39993 -63 30003
i -40002 -63 29996
i -39996 -65 30009
i -39999 -63 29998
i -40008 -64 30004
i -40003 -63 30002
i -40006 -63 30000
o -39997 -64 30004
o -39995 -64 30001
o -39999 -64 30004
o -39999 -64 30003
o -40002 -64 30005
o -39995 -64 29998
o -39999 -64 30002
o -40004 -64 30004
o -39993 -64 29993
o -39992 -64 30007
o -39994 -64 30007
o -39995 -64 30004
o -39997 -64 30005
o -40004 -64 29992
o -40006 -64 30005
o -40003 -64 30001
o -40008 -64 30005
o -40008 -64 30004
o -40001 -64 29995
o -39999 -64 29992
o -40007 -64 29999
o -39999 -63 30006
o -40001 -65 30005
o -39992 -65 29995
o -39995 -63 29999
o -40001 -65 30003
o -40004 -65 30006
o -39999 -63 30001
o -40003 -63 30005
o -39995 -65 29995
o -39994 -65 30008
o -39993 -65 30006
o -39996 -65 30009
o -39995 -63 30006
o -39994 -65 30002
o -39993 -63 30003
o -40007 -63 29996
o -40007 -63 29992
o -39997 -65 29994
o -39997 -63 29996
o -39999 -63 29998
o -40003 -63 30002
o -39996 -65 29991
o -40002 -63 29996
o -40006 -63 30000
o -40005 -63 29998
o -40000 -63 29993
case 26 47
i 1 -1 9
i 5 -2 5
i -1 -1 1
i 3 -2 0
i -2 -2 -4
i -3 -1 -3
i -1 -2 8
i 9 -2 9
i 9 -1 8
i -1 -2 -1
i 5 -2 -2
i 8 0 2
i -1 0 -2
i -2 -1 -1
i -5 0 -6
i 1 0 0
i -7 -2 1
i 4 -1 7
i -2 0 1
i -2 0 -3
i 4 -2 -3
i 6 0 2
i 7 0 2
i -5 -1 -2
i 1 0 9
i 7 -2 9
i 7 0 4
i 2 -2 1
i -5 -1 2
i -4 0 5
i -2 0 3
i -6 -2 -1
i 4 -1 -3
i 9 -2 8
i -4 0 -2
i 6 -2 4
i 6 -2 8
i 1 -1 -4
i 9 0 4
i -3 -2 1
i -7 -1 2
i 9 0 9
i 7 -1 8
i 8 -2 4
i -7 -2 9
i 4 -2 6
i -1 -1 6
o -3 -2 1
o 1 0 0
o -4 0 5
o -2 0 3
o -1 0 -2
o -2 -2 -4
o -2 0 -3
o -6 -2 -1
o -7 -2 9
o 2 -2 1
o -4 0 -2
o 6 0 2
o -1 -2 8
o 7 0 2
o 8 0 2
o -5 0 -6
o 1 0 9
o 7 0 4
o 5 -2 5
o 6 -2 4
o 4 -2 6
o 9 0 4
o 8 -2 4
o 6 -2 8
o 7 -2 9
o 9 0 9
o 9 -2 8
o 9 -2 9
o -7 -1 2
o 4 -1 -3
o -5 -1 2
o -1 -1 1
o -2 -1 -1
o 1 -1 -4
o -3 -1 -3
o -5 -1 -2
o -1 -1 6
o 1 -1 9
o 4 -1 7
o 7 -1 8
o 9 -1 8
o 3 -2 0
o 5 -2 -2
o -7 -2 1
o 4 -2 -3
o -1 -2 -1
o -2 0 1
case 27 48
i 2 -1 -3
i 3 0 -1
i -2 -1 -7
i 2 1 -6
i -5 -1 5
i 1 1 8
i 8 0 7
i -3 -1 7
i -1 -1 6
i 2 1 0
i -8 1 5
i 5 -1 -4
i 2 -1 5
i -4 1 3
i -2 1 7
i -3 -1 3
i -5 0 -1
i 7 0 3
i 2 -1 8
i -1 1 6
i 8 -1 -4
i -7 0 -5
i 1 1 -8
i -4 -1 5
i -3 0 -3
i 4 -1 -7
i 4 1 -5
i 7 0 6
i -7 1 -1
i -3 1 7
i -3 -1 2
i 5 1 5
i -2 0 2
i 3 -1 -1
i -4 1 8
i 5 1 -5
i 1 -1 8
i -6 -1 1
i 5 0 6
i 6 0 -6
i -6 1 4
i 5 -1 4
i -2 0 -3
i -2 -1 8
i -3 1 4
i -3 0 8
i 3 1 -4
i 1 -1 -6
o -2 0 2
o -2 0 -3
o -5 0 -1
o -3 0 -3
o -3 0 8
o 7 0 3
o -7 0 -5
o 5 0 6
o 7 0 6
o 8 0 7
o 8 -1 -4
o -8 1 5
o 3 -1 -1
o -6 -1 1
o 5 -1 -4
o -6 1 4
o -4 1 3
o 2 -1 -3
o -3 -1 2
o 5 1 -5
o -3 1 4
o -5 -1 5
o 2 1 0
o -3 -1 3
o 4 -1 -7
o 4 1 -5
o 3 1 -4
o -4 -1 5
o -3 1 7
o -4 1 8
o 1 -1 -6
o 2 1 -6
o -2 1 7
o -1 1 6
o -3 -1 7
o -1 -1 6
o -2 -1 -7
o 1 1 -8
o -2 -1 8
o 1 1 8
o 2 -1 5
o -7 1 -1
o 5 1 5
o 1 -1 8
o 5 -1 4
o 2 -1 8
o 3 0 -1
o 6 0 -6
case 28 48
i -40009 -65 30008
i -40001 -65 29992
i -40002 -64 30001
i -39999 -65 30008
i -40009 -64 29996
i -40000 -64 30000
i -39995 -65 29994
i -40007 -65 29991
i -40003 -64 30009
i -39992 -65 30007
i -40009 -64 30006
i -39997 -65 29994
i -40006 -63 29997
i -40009 -64 29998
i -40000 -65 29997
i -40007 -65 29997
i -39996 -64 30000
i -39991 -63 29997
i -39991 -64 29994
i -40000 -64 30009
i -39997 -65 29996
i -40004 -65 30002
i -39998 -65 29993
i -40001 -65 30001
i -40007 -64 29996
i -40005 -65 29992
i -39999 -65 30001
i -39992 -64 29997
i -40000 -63 30003
i -39993 -63 30004
i -39996 -65 29997
i -39993 -64 29993
i -40005 -64 29991
i -39994 -63 30006
i -40005 -63 30006
i -39998 -63 30008
i -39999 -63 30000
i -39992 -65 30002
i -40005 -64 29997
i -39991 -64 29998
i -40001 -65 30008
i -39992 -65 29992
i -40000 -65 29995
i -39996 -64 30006
i -39993 -64 29995
i -40001 -63 30004
i -39992 -64 29999
i -40005 -65 29995
o -39991 -64 29998
o -39992 -64 29999
o -40003 -64 30009
o -39992 -64 29997
o -39996 -64 30000
o -39991 -64 29994
o -39993 -64 29995
o -40000 -64 30000
o -39993 -64 29993
o -39996 -64 30006
o -40000 -64 30009
o -40009 -64 29998
o -40007 -64 29996
o -40009 -64 29996
o -40005 -64 29991
o -39992 -65 30007
o -40002 -64 30001
o -40009 -64 30006
o -40005 -64 29997
o -39991 -63 29997
o -39999 -65 30001
o -40000 -63 30003
o -39996 -65 29997
o -40001 -63 30004
o -40001 -65 30001
o -39992 -65 29992
o -40009 -65 30008
o -39995 -65 29994
o -39997 -65 29996
o -40005 -63 30006
o -39999 -63 30000
o -39994 -63 30006
o -39992 -65 30002
o -39999 -65 30008
o -39993 -63 30004
o -39998 -63 30008
o -40001 -65 30008
o -40007 -65 29997
o -40005 -65 29995
o -40006 -63 29997
o -40005 -65 29992
o -40007 -65 29991
o -40004 -65 30002
o -39997 -65 29994
o -40000 -65 29997
o -39998 -65 29993
o -40000 -65 29995
o -40001 -65 29992
case 29 48
i 6 -1 5
i -2 -1 2
i -4 0 -3
i 8 -1 -1
i -6 0 -1
i -6 -1 -4
i 1 -1 -2
i 5 0 -7
i -6 -2 3
i 1 -1 5
i -5 -1 -4
i 0 -1 -5
i -6 -1 7
i -6 -2 6
i 5 0 9
i 3 -1 6
i 0 -2 -4
i -2 -2 -7
i -7 0 7
i 2 -2 5
i 5 0 7
i 8 -2 1
i -5 0 2
i -3 -1 -4
i 7 0 8
i -5 0 4
i 3 -1 -6
i 2 -1 -2
i -5 -1 -1
i -3 -1 -5
i 8 -2 7
i -3 -2 -3
i 0 -2 4
i 2 0 -6
i 9 0 6
i 7 -2 2
i 4 0 6
i 7 -1 -4
i 0 -1 -6
i 2 -2 0
i -6 -1 -3
i -6 0 1
i 0 -2 8
i -7 -2 6
i -7 -1 -7
i 9 -2 -5
i -3 -2 5
i -4 0 1
o -7 0 7
o 5 0 -7
o 0 -2 -4
o -7 -2 6
o -6 -2 6
o -3 -2 -3
o 2 0 -6
o -3 -2 5
o -4 0 -3
o -6 0 -1
o -2 -2 -7
o 0 -2 4
o 2 -2 5
o 4 0 6
o 0 -2 8
o 8 -2 1
o 7 -2 2
o 5 0 7
o 5 0 9
o 7 0 8
o 9 0 6
o 8 -2 7
o 8 -1 -1
o 7 -1 -4
o 2 -1 -2
o 1 -1 -2
o -2 -1 2
o 3 -1 -6
o -6 -1 7
o 0 -1 -5
o -5 -1 -1
o 0 -1 -6
o -3 -1 -4
o -3 -1 -5
o 1 -1 5
o -5 -1 -4
o -6 -1 -3
o -6 -1 -4
o 3 -1 6
o 6 -1 5
o -7 -1 -7
o 9 -2 -5
o 2 -2 0
o -6 0 1
o -5 0 2
o -4 0 1
o -6 -2 3
o -5 0 4
case 30 49
i 0 1 4
i 0 -1 -2
i 6 -1 -8
i -3 0 -8
i -4 1 5
i -1 0 -5
i -6 0 -7
i -5 -1 -4
i -2 -1 -3
i -8 1 0
i -4 1 -2
i -6 0 5
i -8 1 -6
i 3 0 7
i 8 1 8
i -1 1 3
i -4 0 2
i -7 -1 1
i -3 -1 3
i 3 1 3
i -2 -1 -4
i 5 -1 1
i -6 0 1
i -4 -1 -3
i -7 1 1
i -4 0 8
i -7 -1 -3
i 6 -1 -2
i -8 -1 -3
i -4 1 1
i -8 -1 1
i 5 0 5
i 8 1 -4
i 6 0 -4
i -7 0 1
i 6 0 -2
i 1 -1 2
i 7 0 -6
i -6 1 0
i -6 1 -4
i 7 0 4
i 8 1 3
i 5 1 7
i -3 1 0
i 1 0 -7
i -3 0 2
i 3 1 4
i -8 0 -4
i -8 0 -3
o -4 0 8
o -3 0 -8
o 7 0 4
o -8 0 -4
o -8 1 0
o -6 1 0
o 6 -1 -2
o -8 -1 1
o -7 -1 1
o -3 1 0
o 0 -1 -2
o 6 -1 -8
o -3 -1 3
o 0 1 4
o -2 -1 -4
o 3 1 4
o -5 -1 -4
o 5 -1 1
o 8 1 8
o -7 0 1
o -6 0 1
o -6 0 5
o -1 0 -5
o 1 0 -7
o 3 0 7
o 5 0 5
o -8 0 -3
o -6 0 -7
o -7 1 1
o -4 1 1
o 8 1 -4
o -4 1 5
o -1 1 3
o -2 -1 -3
o 1 -1 2
o 3 1 3
o -4 -1 -3
o -4 1 -2
o -7 -1 -3
o -8 -1 -3
o -6 1 -4
o 8 1 3
o 5 1 7
o -8 1 -6
o 6 0 -2
o 6 0 -4
o -4 0 2
o 7 0 -6
o -3 0 2
case 31 49
i -40008 -65 29999
i -39991 -65 30005
i -39998 -63 30005
i -40003 -64 30001
i -39997 -64 29993
i -39995 -63 30000
i -40001 -63 29996
i -40007 -63 30000
i -40009 -64 30005
i -39991 -64 30008
i -40004 -65 29993
i -39999 -64 29994
i -39993 -64 30009
i -39991 -65 30006
i -39996 -64 29996
i -39992 -63 30002
i -39998 -63 29994
i -40008 -64 29992
i -39995 -64 29991
i -40004 -63 30003
i -39996 -65 29999
i -40001 -63 29998
i -39997 -63 29991
i -40005 -63 29993
i -40006 -63 30006
i -40005 -65 30005
i -39995 -64 29994
i -40009 -63 29993
i -39997 -64 30008
i -39999 -63 29994
i -40003 -63 29995
i -40006 -65 29991
i -40007 -63 30002
i -40006 -65 30009
i -39998 -65 30007
i -40005 -65 29996
i -40002 -64 30008
i -40003 -63 29999
i -40001 -64 30006
i -39997 -65 29992
i -40002 -64 30004
i -39992 -64 30007
i -39997 -65 29995
i -40005 -64 30001
i -40000 -65 29998
i -39998 -63 30000
i -39996 -63 30003
i -39992 -64 30008
i -39998 -64 30007
o -40002 -64 30008
o -40001 -64 30006
o -40002 -64 30004
o -39996 -64 29996
o -39997 -64 30008
o -39991 -65 30006
o -40008 -64 29992
o -39995 -64 29994
o -39999 -64 29994
o -39998 -63 30005
o -39996 -63 30003
o -40003 -63 29995
o -40005 -63 29993
o -39993 -64 30009
o -40000 -65 29998
o -40004 -63 30003
o -39997 -65 29992
o -40003 -63 29999
o -39997 -63 29991
o -40005 -65 29996
o -40009 -63 29993
o -39992 -64 30007
o -39998 -64 30007
o -40003 -64 30001
o -39997 -64 29993
o -40009 -64 30005
o -39995 -64 29991
o -40005 -64 30001
o -39995 -63 30000
o -39996 -65 29999
o -40006 -65 30009
o -40005 -65 30005
o -39998 -63 30000
o -39991 -65 30005
o -39998 -65 30007
o -39992 -63 30002
o -40004 -65 29993
o -40006 -65 29991
o -39991 -64 30008
o -39992 -64 30008
o -40006 -63 30006
o -39997 -65 29995
o -40001 -63 29998
o -39998 -63 29994
o -40001 -63 29996
o -39999 -63 29994
